Project ID,LOC,FP,UCP,Effort (person-hours),Development Time (months),Team Size,Project Type,Language Type,Primary Programming Language,Count Approach,Application Group,Application Type,Development Type,Defect Density,Productivity,Schedule
47,30.12,502,537.7,4800,6,5,Enterprise,3GL,Java,FiSMA,Infrastructure Software,Transaction System,Not Defined,3.58,16.733,6
48,73.52,919,999.97,14400,18,5,Mobile,3GL,.Net,NESMA,Mathematically Intensive Application,Internet Banking,New Development,3.07,10.211,18
49,77.68,971,887.25,24640,11,14,Web,3GL,Javascript,IFPUG 4+,Business Application,Website,Enhancement,0.35,6.305,11
50,5.0,250,263.54,9600,5,12,Enterprise,4GL,ABAP,IFPUG 4+,Infrastructure Software,Transaction System,Re-development,0.5,4.167,5
51,19.44,243,258.42,1920,6,2,Mobile,3GL,Javascript,FiSMA,Business Application,Human Resources,Other,0.89,20.25,6
52,5.96,101,111.06,15680,7,14,Enterprise,3GL,C#,COSMIC,Mathematically Intensive Application,E-Business,New Development,4.6,1.031,7
53,8.64,108,103.22,11520,18,4,Mobile,3GL,.Net,FiSMA,Infrastructure Software,Human Resources,Re-development,4.39,1.5,18
54,40.24,503,541.94,2400,3,5,Mobile,3GL,.Net,NESMA,Mathematically Intensive Application,Internet Banking,New Development,3.57,33.533,3
55,54.88,686,681.58,7680,8,6,Web,3GL,PHP,FiSMA,Business Application,E-Business,Re-development,1.07,14.292,8
56,28.24,353,318.35,5280,11,3,Mobile,3GL,.Net,COSMIC,Real-Time Application,Website,Not Defined,3.65,10.697,11
57,56.64,960,891.26,2560,4,4,Web,3GL,C#,IFPUG 4+,Infrastructure Software,Website,New Development,3.77,60.0,4
58,16.38,819,900.45,2880,3,6,Enterprise,4GL,Oracle Forms,NESMA,Infrastructure Software,E-Business,Re-development,0.22,45.5,3
59,73.56,497,513.17,9600,10,6,Enterprise,3GL,C,FiSMA,Infrastructure Software,Human Resources,Enhancement,3.6,8.283,10
60,18.72,234,227.47,8640,18,3,Web,3GL,ASP.Net,NESMA,Infrastructure Software,Air Traffic Management,Enhancement,1.37,4.333,18
61,78.56,982,1008.78,7680,16,3,Mobile,3GL,PHP,IFPUG 4+,Infrastructure Software,Human Resources,Re-development,3.36,20.458,16
62,19.74,329,321.97,4800,10,3,Embedded,3GL,Java,FiSMA,Infrastructure Software,Internet Banking,New Development,3.52,10.967,10
63,48.1,325,315.26,4480,14,2,Embedded,3GL,C,NESMA,Infrastructure Software,Air Traffic Management,Not Defined,3.68,11.607,14
64,11.6,580,591.32,4800,6,5,Enterprise,4GL,Oracle Forms,COSMIC,Business Application,Human Resources,Enhancement,0.23,19.333,6
65,11.84,148,134.49,11200,14,5,Embedded,3GL,ASP.Net,FiSMA,Business Application,Internet Banking,Re-development,0.81,2.114,14
66,11.6,145,158.27,11200,14,5,Enterprise,3GL,PHP,FiSMA,Business Application,E-Business,Re-development,0.22,2.071,14
67,18.95,379,366.17,3360,7,3,Mobile,3GL,Visual Basic,FiSMA,Business Application,E-Business,Other,0.94,18.048,7
68,63.92,799,855.41,9600,15,4,Embedded,3GL,ASP.Net,FiSMA,Real-Time Application,Website,Other,2.54,13.317,15
69,20.8,260,242.24,7040,11,4,Web,3GL,PHP,COSMIC,Mathematically Intensive Application,E-Business,Not Defined,2.58,5.909,11
70,53.2,665,644.79,25600,16,10,Web,3GL,Python,COSMIC,Mathematically Intensive Application,IT Management,New Development,1.39,4.156,16
71,22.83,387,412.97,5760,4,9,Enterprise,3GL,C#,FiSMA,Mathematically Intensive Application,Human Resources,Not Defined,2.02,10.75,4
72,11.78,589,640.68,4800,10,3,Enterprise,4GL,ABAP,COSMIC,Infrastructure Software,IT Management,Not Defined,1.11,19.633,10
73,45.5,910,948.02,9600,15,4,Mobile,3GL,Visual Basic,FiSMA,Real-Time Application,Website,New Development,2.19,15.167,15
74,12.74,637,688.6,17600,10,11,Enterprise,4GL,PowerBuilder,FiSMA,Real-Time Application,IT Management,Not Defined,1.39,5.791,10
75,48.4,605,545.13,12000,15,5,Mobile,3GL,Python,NESMA,Infrastructure Software,Human Resources,New Development,1.78,8.067,15
76,17.5,875,936.42,11200,5,14,Enterprise,4GL,ABAP,IFPUG 4+,Infrastructure Software,Human Resources,Re-development,0.64,12.5,5
77,11.46,191,194.01,7200,9,5,Mobile,3GL,Java,COSMIC,Business Application,E-Business,Enhancement,1.07,4.244,9
78,7.5,150,148.97,10240,16,4,Embedded,3GL,Visual Basic,IFPUG 4+,Real-Time Application,IT Management,Other,2.15,2.344,16
79,33.04,413,442.77,1920,6,2,Mobile,3GL,PHP,NESMA,Real-Time Application,Air Traffic Management,Enhancement,1.16,34.417,6
80,52.04,882,825.57,15680,7,14,Web,3GL,C#,NESMA,Infrastructure Software,Air Traffic Management,Other,3.09,9.0,7
81,22.5,152,145.05,5600,7,5,Embedded,3GL,C,COSMIC,Business Application,IT Management,Enhancement,0.79,4.343,7
82,69.84,873,794.72,12800,16,5,Embedded,3GL,Python,FiSMA,Real-Time Application,Website,Other,3.16,10.912,16
83,73.76,922,855.31,12000,15,5,Embedded,3GL,Python,NESMA,Infrastructure Software,Human Resources,Not Defined,4.88,12.293,15
84,16.4,205,197.74,3200,10,2,Embedded,3GL,.Net,COSMIC,Mathematically Intensive Application,Internet Banking,Other,2.08,10.25,10
85,42.18,703,737.31,3360,7,3,Embedded,3GL,Java,FiSMA,Real-Time Application,E-Business,Re-development,1.74,33.476,7
86,74.32,929,991.43,4480,14,2,Mobile,3GL,.Net,FiSMA,Mathematically Intensive Application,Website,New Development,2.64,33.179,14
87,9.42,157,170.04,2560,4,4,Mobile,3GL,C++,COSMIC,Real-Time Application,Human Resources,Enhancement,1.96,9.812,4
88,12.8,217,226.31,12000,15,5,Mobile,3GL,C#,NESMA,Real-Time Application,Transaction System,Other,2.12,2.893,15
89,29.68,371,372.24,13600,17,5,Embedded,3GL,PHP,IFPUG 4+,Infrastructure Software,Internet Banking,Not Defined,2.74,4.365,17
90,48.0,960,944.56,9600,12,5,Embedded,3GL,Visual Basic,IFPUG 4+,Real-Time Application,IT Management,New Development,2.42,16.0,12
91,3.7,185,185.27,15680,7,14,Enterprise,4GL,PowerBuilder,NESMA,Infrastructure Software,IT Management,Enhancement,0.32,1.888,7
92,2.51,193,209.51,6720,7,6,Enterprise,4GL,SQL,NESMA,Mathematically Intensive Application,Human Resources,Not Defined,0.82,4.595,7
93,25.36,317,333.7,2880,9,2,Mobile,3GL,Javascript,COSMIC,Business Application,IT Management,Other,0.65,17.611,9
94,20.83,353,333.01,17280,12,9,Web,3GL,C#,NESMA,Infrastructure Software,Internet Banking,Not Defined,3.46,3.269,12
95,138.53,936,1008.39,13600,17,5,Mobile,3GL,C,FiSMA,Real-Time Application,Transaction System,Enhancement,1.06,11.012,17
96,60.64,758,758.48,3200,10,2,Embedded,3GL,ASP.Net,FiSMA,Real-Time Application,Transaction System,Not Defined,3.63,37.9,10
97,49.2,615,652.87,5760,4,9,Enterprise,3GL,Javascript,IFPUG 4+,Business Application,Transaction System,Enhancement,0.23,17.083,4
98,147.26,995,958.82,9600,10,6,Web,3GL,C,IFPUG 4+,Infrastructure Software,Air Traffic Management,New Development,3.71,16.583,10
99,46.44,774,796.18,4800,15,2,Mobile,3GL,Java,COSMIC,Real-Time Application,Human Resources,New Development,3.18,25.8,15
100,56.96,712,729.93,960,3,2,Mobile,3GL,Javascript,FiSMA,Mathematically Intensive Application,Air Traffic Management,Other,3.61,118.667,3
101,8.52,142,130.58,38080,17,14,Web,3GL,C++,FiSMA,Business Application,Website,New Development,0.69,0.597,17
102,7.04,352,355.32,7200,9,5,Enterprise,4GL,PowerBuilder,NESMA,Infrastructure Software,E-Business,Other,0.29,7.822,9
103,51.62,875,854.94,5760,12,3,Mobile,3GL,C#,FiSMA,Business Application,Internet Banking,Other,0.64,24.306,12
104,17.12,214,198.63,11520,12,6,Web,3GL,ASP.Net,NESMA,Mathematically Intensive Application,E-Business,Other,3.79,2.972,12
105,11.84,592,647.45,9600,6,10,Enterprise,4GL,PowerBuilder,NESMA,Business Application,IT Management,Re-development,0.74,9.867,6
106,51.6,860,868.25,3520,11,2,Embedded,3GL,C++,NESMA,Infrastructure Software,Human Resources,Other,3.27,39.091,11
107,67.04,838,921.0,3840,4,6,Enterprise,3GL,Python,NESMA,Real-Time Application,IT Management,Other,2.0,34.917,4
108,3.9,195,201.65,15680,14,7,Enterprise,4GL,Oracle Forms,IFPUG 4+,Mathematically Intensive Application,IT Management,Enhancement,0.76,1.99,14
109,31.2,624,653.94,7040,11,4,Embedded,3GL,Visual Basic,NESMA,Mathematically Intensive Application,E-Business,Not Defined,2.51,14.182,11
110,19.6,980,1029.51,14080,8,11,Enterprise,4GL,Oracle Forms,FiSMA,Mathematically Intensive Application,Transaction System,Re-development,0.59,11.136,8
111,2.36,118,122.59,33600,15,14,Enterprise,4GL,Oracle Forms,IFPUG 4+,Infrastructure Software,Human Resources,Not Defined,1.38,0.562,15
112,14.0,175,169.92,12800,16,5,Embedded,3GL,Python,COSMIC,Real-Time Application,Human Resources,Not Defined,3.71,2.188,16
113,98.12,663,672.74,11520,18,4,Embedded,3GL,C,IFPUG 4+,Mathematically Intensive Application,Air Traffic Management,Not Defined,2.79,9.208,18
114,15.84,198,202.06,10400,13,5,Mobile,3GL,.Net,FiSMA,Real-Time Application,Website,Other,1.85,3.046,13
115,13.28,664,716.56,15840,9,11,Enterprise,4GL,ABAP,FiSMA,Real-Time Application,Transaction System,Re-development,0.32,6.707,9
116,2.82,141,154.74,13440,7,12,Enterprise,4GL,Oracle Forms,FiSMA,Business Application,Human Resources,Other,1.16,1.679,7
117,49.92,832,807.19,8160,17,3,Mobile,3GL,Java,COSMIC,Real-Time Application,Transaction System,Other,1.57,16.314,17
118,10.38,173,187.48,7200,15,3,Enterprise,3GL,Java,FiSMA,Infrastructure Software,Transaction System,Enhancement,4.35,3.844,15
119,5.46,273,292.14,21120,11,12,Enterprise,4GL,Oracle Forms,FiSMA,Business Application,E-Business,Other,1.27,2.068,11
120,43.98,733,743.75,8960,8,7,Enterprise,3GL,C++,NESMA,Business Application,Internet Banking,New Development,1.48,13.089,8
121,11.9,595,646.36,7680,6,8,Enterprise,4GL,PowerBuilder,FiSMA,Infrastructure Software,E-Business,Re-development,0.51,12.396,6
122,25.13,426,467.41,4800,6,5,Embedded,3GL,C#,IFPUG 4+,Real-Time Application,IT Management,New Development,2.51,14.2,6
123,30.84,514,487.36,17920,8,14,Web,3GL,C++,COSMIC,Mathematically Intensive Application,E-Business,Enhancement,3.82,4.589,8
124,65.04,813,805.39,23040,16,9,Web,3GL,Python,NESMA,Infrastructure Software,Internet Banking,Other,2.97,5.646,16
125,60.16,752,737.74,5760,12,3,Embedded,3GL,Javascript,NESMA,Mathematically Intensive Application,Internet Banking,Other,3.96,20.889,12
126,44.4,555,512.55,2880,9,2,Embedded,3GL,.Net,IFPUG 4+,Business Application,Internet Banking,Enhancement,1.17,30.833,9
127,35.76,447,488.32,8960,14,4,Mobile,3GL,.Net,IFPUG 4+,Infrastructure Software,Air Traffic Management,Enhancement,2.14,7.982,14
128,55.38,923,879.47,8960,8,7,Web,3GL,C++,IFPUG 4+,Real-Time Application,IT Management,Other,4.21,16.482,8
129,62.72,784,857.68,5440,17,2,Embedded,3GL,.Net,IFPUG 4+,Infrastructure Software,Transaction System,Re-development,4.56,23.059,17
130,58.12,985,1068.65,5600,7,5,Embedded,3GL,C#,COSMIC,Mathematically Intensive Application,Internet Banking,Other,2.01,28.143,7
131,60.64,758,829.15,8160,17,3,Mobile,3GL,PHP,IFPUG 4+,Infrastructure Software,Human Resources,Enhancement,3.52,14.863,17
132,36.88,625,643.41,3360,7,3,Enterprise,3GL,C#,IFPUG 4+,Infrastructure Software,Internet Banking,Re-development,3.79,29.762,7
133,7.16,358,390.26,22880,13,11,Enterprise,4GL,PowerBuilder,FiSMA,Real-Time Application,Transaction System,Other,0.57,2.503,13
134,66.8,835,761.16,6720,14,3,Embedded,3GL,Javascript,IFPUG 4+,Business Application,IT Management,Re-development,0.34,19.881,14
135,9.44,472,485.09,13440,6,14,Enterprise,4GL,Oracle Forms,IFPUG 4+,Mathematically Intensive Application,Website,New Development,0.8,5.619,6
136,63.76,797,753.87,11200,14,5,Mobile,3GL,Javascript,NESMA,Mathematically Intensive Application,Air Traffic Management,Other,2.44,11.386,14
137,67.12,839,920.59,8160,17,3,Embedded,3GL,Javascript,IFPUG 4+,Real-Time Application,Transaction System,Not Defined,3.14,16.451,17
138,10.7,823,872.61,12000,15,5,Enterprise,4GL,SQL,COSMIC,Mathematically Intensive Application,IT Management,Not Defined,1.42,10.973,15
139,78.56,982,1053.27,7040,4,11,Enterprise,3GL,PHP,IFPUG 4+,Real-Time Application,E-Business,Re-development,1.33,22.318,4
140,17.94,897,974.69,10080,9,7,Enterprise,4GL,PowerBuilder,IFPUG 4+,Real-Time Application,IT Management,New Development,0.73,14.238,9
141,37.84,473,502.38,13600,17,5,Mobile,3GL,Python,FiSMA,Real-Time Application,Human Resources,Not Defined,1.6,5.565,17
142,57.12,952,928.16,14080,8,11,Web,3GL,Java,FiSMA,Infrastructure Software,Transaction System,Not Defined,4.32,10.818,8
143,46.49,788,841.32,5280,11,3,Embedded,3GL,C#,IFPUG 4+,Infrastructure Software,Human Resources,Enhancement,2.66,23.879,11
144,9.68,484,484.66,11520,8,9,Enterprise,4GL,PowerBuilder,IFPUG 4+,Infrastructure Software,Internet Banking,New Development,1.1,6.722,8
145,47.67,808,888.75,2400,5,3,Embedded,3GL,C#,COSMIC,Real-Time Application,Human Resources,Re-development,3.22,53.867,5
146,13.28,664,726.73,9600,5,12,Enterprise,4GL,PowerBuilder,NESMA,Infrastructure Software,IT Management,Other,0.52,11.067,5
147,14.16,177,166.56,1600,5,2,Mobile,3GL,PHP,COSMIC,Infrastructure Software,Internet Banking,New Development,2.1,17.7,5
148,69.68,871,890.91,4800,10,3,Enterprise,3GL,PHP,FiSMA,Mathematically Intensive Application,Internet Banking,New Development,3.47,29.033,10
149,22.35,447,459.01,17280,12,9,Enterprise,3GL,Visual Basic,NESMA,Infrastructure Software,IT Management,Other,2.99,4.139,12
150,42.96,537,566.25,2560,4,4,Embedded,3GL,ASP.Net,FiSMA,Real-Time Application,IT Management,Re-development,4.41,33.562,4
151,9.18,153,167.32,7680,16,3,Mobile,3GL,Java,NESMA,Infrastructure Software,Internet Banking,Not Defined,4.17,3.188,16
152,40.0,500,456.7,24480,17,9,Web,3GL,ASP.Net,NESMA,Real-Time Application,IT Management,Enhancement,4.14,3.268,17
153,100.2,677,718.3,5120,8,4,Embedded,3GL,C,COSMIC,Mathematically Intensive Application,Internet Banking,New Development,3.47,21.156,8
154,49.38,837,811.99,1920,4,3,Embedded,3GL,C#,NESMA,Business Application,Human Resources,Enhancement,0.71,69.75,4
155,57.48,958,879.64,2880,6,3,Embedded,3GL,C++,IFPUG 4+,Real-Time Application,Internet Banking,Re-development,3.19,53.222,6
156,46.4,580,625.45,35840,16,14,Enterprise,3GL,PHP,IFPUG 4+,Mathematically Intensive Application,Internet Banking,Other,3.49,2.589,16
157,52.96,662,688.17,1920,6,2,Embedded,3GL,ASP.Net,NESMA,Business Application,Website,New Development,0.8,55.167,6
158,40.0,500,499.21,4800,6,5,Mobile,3GL,.Net,COSMIC,Business Application,IT Management,New Development,0.8,16.667,6
159,51.6,645,620.54,9600,15,4,Web,3GL,Javascript,COSMIC,Mathematically Intensive Application,E-Business,New Development,1.84,10.75,15
160,11.36,142,145.41,13600,17,5,Enterprise,3GL,.Net,FiSMA,Mathematically Intensive Application,IT Management,Enhancement,1.52,1.671,17
161,22.56,282,286.78,5120,8,4,Mobile,3GL,Python,NESMA,Infrastructure Software,Air Traffic Management,Enhancement,3.79,8.812,8
162,49.95,999,917.27,17600,11,10,Web,3GL,Visual Basic,NESMA,Infrastructure Software,IT Management,Other,4.59,9.082,11
163,17.64,294,294.9,3200,4,5,Mobile,3GL,Java,NESMA,Mathematically Intensive Application,IT Management,Re-development,3.41,14.7,4
164,12.0,150,135.61,4480,4,7,Web,3GL,Javascript,FiSMA,Infrastructure Software,E-Business,Not Defined,2.11,5.357,4
165,74.24,928,930.95,3840,3,8,Enterprise,3GL,.Net,NESMA,Mathematically Intensive Application,IT Management,Re-development,3.14,38.667,3
166,49.84,623,586.41,1440,3,3,Mobile,3GL,PHP,NESMA,Business Application,Air Traffic Management,Not Defined,0.85,69.222,3
167,18.24,912,941.33,21120,11,12,Enterprise,4GL,ABAP,IFPUG 4+,Real-Time Application,Transaction System,New Development,0.83,6.909,11
168,15.65,313,284.26,35360,17,13,Web,3GL,Visual Basic,NESMA,Mathematically Intensive Application,Internet Banking,Enhancement,2.51,1.416,17
169,8.72,436,448.07,4800,10,3,Enterprise,4GL,Oracle Forms,FiSMA,Infrastructure Software,Human Resources,New Development,1.17,14.533,10
170,28.16,352,351.52,12800,8,10,Web,3GL,.Net,NESMA,Business Application,Website,Re-development,0.51,4.4,8
171,7.49,127,123.67,3200,4,5,Mobile,3GL,C#,FiSMA,Mathematically Intensive Application,Human Resources,Not Defined,3.99,6.35,4
172,37.5,625,580.97,5760,9,4,Mobile,3GL,Java,COSMIC,Mathematically Intensive Application,Website,Other,3.75,17.361,9
173,67.92,849,912.64,33600,15,14,Enterprise,3GL,.Net,NESMA,Mathematically Intensive Application,Human Resources,Re-development,4.47,4.043,15
174,72.4,905,862.7,15840,9,11,Web,3GL,Javascript,IFPUG 4+,Infrastructure Software,Internet Banking,Enhancement,2.51,9.141,9
175,65.04,813,823.4,2880,9,2,Embedded,3GL,Python,FiSMA,Business Application,Internet Banking,Not Defined,0.32,45.167,9
176,18.0,225,205.19,7200,15,3,Web,3GL,.Net,IFPUG 4+,Real-Time Application,Transaction System,Re-development,3.37,5.0,15
177,54.32,679,659.32,4800,15,2,Embedded,3GL,ASP.Net,IFPUG 4+,Infrastructure Software,IT Management,New Development,2.92,22.633,15
178,19.62,327,344.56,10880,17,4,Enterprise,3GL,Java,IFPUG 4+,Real-Time Application,Human Resources,Re-development,3.98,4.809,17
179,27.61,468,474.03,5280,11,3,Embedded,3GL,C#,COSMIC,Business Application,E-Business,Re-development,0.64,14.182,11
180,46.67,791,814.08,6240,13,3,Embedded,3GL,C#,IFPUG 4+,Infrastructure Software,Website,Enhancement,2.42,20.282,13
181,78.08,976,942.88,960,3,2,Embedded,3GL,Javascript,FiSMA,Real-Time Application,Website,Enhancement,1.03,162.667,3
182,22.18,376,349.9,11520,18,4,Embedded,3GL,C#,NESMA,Real-Time Application,Transaction System,New Development,1.64,5.222,18
183,18.84,942,950.28,14400,9,10,Enterprise,4GL,PowerBuilder,COSMIC,Mathematically Intensive Application,E-Business,Re-development,1.3,10.467,9
184,19.96,998,1050.35,11200,7,10,Enterprise,4GL,ABAP,COSMIC,Business Application,Internet Banking,Not Defined,1.48,14.257,7
185,19.32,322,318.67,13440,14,6,Web,3GL,Java,IFPUG 4+,Business Application,Internet Banking,Re-development,1.39,3.833,14
186,56.76,946,1005.99,5120,16,2,Mobile,3GL,C++,COSMIC,Business Application,Internet Banking,Other,0.42,29.562,16
187,33.65,673,730.79,8320,13,4,Mobile,3GL,Visual Basic,COSMIC,Infrastructure Software,Transaction System,Enhancement,3.29,12.942,13
188,42.72,534,525.38,8960,8,7,Web,3GL,.Net,COSMIC,Infrastructure Software,Website,Re-development,4.87,9.536,8
189,55.16,935,921.06,1920,6,2,Mobile,3GL,C#,IFPUG 4+,Infrastructure Software,E-Business,Re-development,1.97,77.917,6
190,32.9,658,685.27,8640,18,3,Mobile,3GL,Visual Basic,FiSMA,Business Application,Air Traffic Management,Re-development,0.31,12.185,18
191,59.58,993,909.03,14400,15,6,Web,3GL,C++,NESMA,Business Application,Human Resources,New Development,0.89,11.033,15
192,61.76,772,751.81,9600,12,5,Embedded,3GL,Javascript,FiSMA,Business Application,IT Management,Other,0.91,12.867,12
193,37.45,749,822.4,3200,10,2,Mobile,3GL,Visual Basic,IFPUG 4+,Mathematically Intensive Application,IT Management,New Development,4.24,37.45,10
194,33.6,420,383.83,5280,3,11,Web,3GL,Javascript,NESMA,Real-Time Application,Human Resources,New Development,1.47,12.727,3
195,51.92,649,637.56,8160,17,3,Embedded,3GL,Javascript,IFPUG 4+,Business Application,Transaction System,Other,1.41,12.725,17
196,24.6,417,437.51,7680,16,3,Mobile,3GL,C#,COSMIC,Mathematically Intensive Application,Website,Other,4.73,8.688,16
197,11.16,558,610.36,11200,5,14,Enterprise,4GL,ABAP,NESMA,Real-Time Application,E-Business,New Development,0.29,7.971,5
198,31.6,395,412.51,14400,18,5,Mobile,3GL,PHP,NESMA,Infrastructure Software,IT Management,Re-development,4.13,4.389,18
199,70.24,878,929.85,6720,14,3,Embedded,3GL,PHP,NESMA,Business Application,Transaction System,Not Defined,0.41,20.905,14
200,65.92,824,839.36,10400,13,5,Enterprise,3GL,ASP.Net,COSMIC,Real-Time Application,E-Business,New Development,3.54,12.677,13
201,39.71,673,629.85,21120,11,12,Web,3GL,C#,NESMA,Business Application,Human Resources,Re-development,1.09,5.098,11
202,75.12,939,927.57,8640,18,3,Mobile,3GL,Python,IFPUG 4+,Mathematically Intensive Application,Human Resources,New Development,2.85,17.389,18
203,41.68,521,525.15,10880,17,4,Embedded,3GL,ASP.Net,NESMA,Business Application,Transaction System,Other,0.95,7.662,17
